arret,DAUID
5084,35060385
5084,35060387
5084,35060388
5084,35060410
5084,35060409
5084,35060389
5061,35060385
5061,35060387
5061,35060388
5061,35060410
5061,35060409
5061,35060389
5078,35060383
5078,35060385
5078,35060387
5078,35060388
5078,35060411
5078,35060410
5078,35060409
5078,35060389
5081,35060383
5081,35060384
5081,35060385
5081,35060387
5081,35060388
5081,35060411
5081,35060410
5081,35060409
9017,35061217
9017,35061258
9017,35060409
9017,35060429
5067,35060383
5067,35060384
5067,35060385
5067,35060387
5067,35060388
5067,35060411
5067,35060410
5067,35060409
5067,35060389
5076,35060383
5076,35060411
5076,35060410
5076,35060409
5079,35060383
5079,35060384
5079,35060385
5079,35060387
5079,35060388
5079,35060411
5079,35060410
5079,35060409
9424,35060388
9424,35060410
9424,35060409
9424,35060389
9424,24810263
5082,35060383
5082,35060384
5082,35060385
5082,35060387
5082,35060386
5082,35060388
5082,35060411
5082,35060410
5082,35060409
5082,35060389
5065,35061218
5065,35060411
5065,35060410
5065,35060409
5074,35061218
5074,35061219
5074,35060411
5074,35060410
5074,35060409
9016,35061217
9016,35061218
9016,35061258
9016,35060409
9016,35060429
5080,35060383
5080,35060384
5080,35060385
5080,35060387
5080,35060388
5080,35060411
5080,35060410
5080,35060409
5080,35060389
5066,35060383
5066,35060411
5066,35060410
5066,35060409
5063,35060410
5063,35060409
5063,35060389
5072,35060383
5072,35060385
5072,35060387
5072,35060386
5072,35060388
5072,35060410
5072,35060409
5072,35060389
6043,24810298
6043,35060408
6043,24810299
6043,35060399
6043,24810263
6041,24810298
6041,35060408
6041,24810299
6041,35060399
6041,24810263
5998,35060408
5998,35060350
5998,35060349
5998,35060400
5998,35060402
5998,35060353
5998,35060352
5998,35060355
5998,35060399
5998,35060351
5998,35060354
6047,24810298
6047,35060408
6047,24810299
6047,35060399
6047,24810263
5999,35060408
5999,35060350
5999,35060349
5999,35060400
5999,35060353
5999,35060352
5999,35060355
5999,35060399
5999,35060351
5999,35060354
9435,35060335
9435,35060338
9435,35060256
9435,35060408
9435,35060339
9435,35060337
9435,35060336
9435,35060342
9435,35060340
9435,35060341
9435,35060407
6040,24810298
6040,35060408
6040,24810299
6040,35060399
5038,35060338
5038,35060256
5038,24810298
5038,35060408
5038,35060339
5038,35060340
5038,35060407
5044,35060338
5044,24810298
5044,35060408
5044,35060404
5044,35060342
5044,35060340
5044,35060406
5044,35060402
5044,35060405
5044,35060407
5030,35060338
5030,35060256
5030,35060254
5030,35060408
5030,35060337
5050,35060338
5050,24810298
5050,35060408
5050,35060403
5050,35060404
5050,35060406
5050,35060400
5050,35060401
5050,35060402
5050,35060405
5050,35060407
5050,35060399
6046,24810298
6046,35060408
6046,24810299
6046,35060399
5036,35060338
5036,35060256
5036,35060408
5036,35060339
5036,35060337
5036,35060340
5036,35060407
9436,35060338
9436,35060408
9436,35060403
9436,35060346
9436,35060404
9436,35060342
9436,35060340
9436,35060406
9436,35060400
9436,35060401
9436,35060402
9436,35060405
9436,35060407
9436,35060399
9433,35061220
9433,35061221
9433,35061222
9433,35060333
9433,35060335
9433,35060321
9433,35060334
9433,35060338
9433,35060256
9433,35060408
9433,35060339
9433,35060337
9433,35060336
5042,35060338
5042,24810298
5042,35060408
5042,35060404
5042,35060342
5042,35060340
5042,35060406
5042,35060407
5028,35061222
5028,35060335
5028,35060338
5028,35060256
5028,35060254
5028,35060408
5028,35060337
5048,35060338
5048,24810298
5048,35060408
5048,35060403
5048,35060404
5048,35060342
5048,35060406
5048,35060402
5048,35060405
5048,35060407
5048,35060399
5040,35060338
5040,24810298
5040,35060408
5040,35060404
5040,35060342
5040,35060340
5040,35060406
5040,35060407
9010,35060338
9010,35060408
9010,35060339
9010,35060403
9010,35060346
9010,35060404
9010,35060342
9010,35060340
9010,35060341
9010,35060406
9010,35060402
9010,35060405
9010,35060407
5034,35060338
5034,35060256
5034,35060408
5034,35060339
5034,35060407
6042,24810298
6042,35060408
6042,24810299
6042,35060399
9434,35061220
9434,35061221
9434,35061222
9434,35060335
9434,35060334
9434,35060338
9434,35060256
9434,35060408
9434,35060339
9434,35060337
9434,35060336
9434,35060340
9434,35060341
9437,35060338
9437,35060408
9437,35060403
9437,35060346
9437,35060404
9437,35060342
9437,35060406
9437,35060400
9437,35060401
9437,35060402
9437,35060405
9437,35060407
9437,35060399
5046,35060338
5046,24810298
5046,35060408
5046,35060403
5046,35060404
5046,35060342
5046,35060406
5046,35060402
5046,35060405
5046,35060407
5032,35060335
5032,35060338
5032,35060256
5032,35060408
5032,35060339
5032,35060337
5010,35061025
5010,35061023
5010,35061222
5010,35061223
5010,35060250
5010,35060245
