stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
11-0,,Name,,45.470888,-75.749963,,,0,,2
12-0,,Name,,45.475237,-75.746198,,,0,,2
13-0,,Name,,45.479586,-75.741743,,,0,,2
14-0,,Name,,45.483935,-75.736651,,,0,,2
21-0,,Name,,45.484253,-75.741583,,,0,,2
22-0,,Name,,45.478101,-75.740311,,,0,,2
23-0,,Name,,45.473328,-75.734795,,,0,,2
24-0,,Name,,45.468501,-75.72599,,,0,,2
31-0,,Name,,45.467759,-75.72371,,,0,,2
32-0,,Name,,45.466539,-75.734211,,,0,,2
33-0,,Name,,45.468766,-75.744023,,,0,,2
34-0,,Name,,45.472532,-75.7506,,,0,,2
11-1,,Name,,45.470888,-75.749964,,,0,,2
12-1,,Name,,45.475237,-75.746199,,,0,,2
13-1,,Name,,45.479586,-75.741744,,,0,,2
14-1,,Name,,45.483935,-75.736652,,,0,,2
21-1,,Name,,45.484253,-75.741584,,,0,,2
22-1,,Name,,45.478101,-75.740312,,,0,,2
23-1,,Name,,45.473328,-75.734796,,,0,,2
24-1,,Name,,45.468501,-75.72598,,,0,,2
31-1,,Name,,45.467759,-75.72372,,,0,,2
32-1,,Name,,45.466539,-75.734212,,,0,,2
33-1,,Name,,45.468766,-75.744024,,,0,,2
34-1,,Name,,45.472532,-75.750602,,,0,,2
