trip_id,arrival_time,departure_time,stop_id,pickup_type,stop_sequence,drop_off_type
1-0-1,08:00:00,08:00:00,11-0,0,1,0
1-0-1,08:00:00,08:00:00,12-0,0,2,0
1-0-1,08:00:00,08:00:00,13-0,0,3,0
1-0-1,08:00:00,08:00:00,14-0,0,4,0
2-0-1,08:00:00,08:00:00,21-0,0,1,0
2-0-1,08:00:00,08:00:00,22-0,0,2,0
2-0-1,08:00:00,08:00:00,23-0,0,3,0
2-0-1,08:00:00,08:00:00,24-0,0,4,0
3-0-1,08:00:00,08:00:00,31-0,0,1,0
3-0-1,08:00:00,08:00:00,32-0,0,2,0
3-0-1,08:00:00,08:00:00,33-0,0,3,0
3-0-1,08:00:00,08:00:00,34-0,0,4,0
1-1-1,08:00:00,08:00:00,14-1,0,1,0
1-1-1,08:00:00,08:00:00,13-1,0,2,0
1-1-1,08:00:00,08:00:00,12-1,0,3,0
1-1-1,08:00:00,08:00:00,11-1,0,4,0
2-1-1,08:00:00,08:00:00,24-1,0,1,0
2-1-1,08:00:00,08:00:00,23-1,0,2,0
2-1-1,08:00:00,08:00:00,22-1,0,3,0
2-1-1,08:00:00,08:00:00,21-1,0,4,0
3-1-1,08:00:00,08:00:00,34-1,0,1,0
3-1-1,08:00:00,08:00:00,33-1,0,2,0
3-1-1,08:00:00,08:00:00,32-1,0,3,0
3-1-1,08:00:00,08:00:00,31-1,0,4,0
