ID,HH_ID,PERS_ID,PERS_START,BACK_HOME_TRIP,AGE_GROUP,SEXE,OCCUPATION,HH_SIZE,N_CARS,MODE1,MODE2,MODE3,MODE4,MODE5,HOUR,WEIGHT,GROUP_HOUR,X,Y
1,2300000,2301000,1,0,5,2,1,2,2,1,,,,,830,9.860581798,2,365354,5040148
2,2300000,2301000,0,1,5,2,1,2,2,1,,,,,1730,9.860581798,5,365354,5040148
3,2300000,2302000,1,0,6,1,1,2,2,1,,,,,630,11.61358655,1,365354,5040148
4,2300000,2302000,0,0,6,1,1,2,2,1,,,,,1600,11.61358655,5,365354,5040148
5,2300000,2302000,0,0,6,1,1,2,2,1,,,,,1900,11.61358655,6,365354,5040148
6,2300000,2302000,0,1,6,1,1,2,2,1,,,,,2130,11.61358655,6,365354,5040148
7,4500000,4501000,1,0,5,1,3,3,2,1,,,,,800,29.43363148,2,369056.57,5023658.49
8,4500000,4501000,0,0,5,1,3,3,2,3,,,,,815,29.43363148,2,369056.57,5023658.49
9,4500000,4501000,0,0,5,1,3,3,2,3,7,,,,1430,29.43363148,4,369056.57,5023658.49
10,4500000,4501000,0,1,5,1,3,3,2,1,,,,,1730,29.43363148,5,369056.57,5023658.49
11,4500000,4502000,1,0,4,2,3,3,2,3,,,,,845,38.88650774,2,369056.57,5023658.49
12,4500000,4502000,0,1,4,2,3,3,2,3,,,,,1515,38.88650774,4,369056.57,5023658.49
13,4500000,4503000,1,0,8,2,1,3,2,1,,,,,830,30.59420477,2,369056.57,5023658.49
14,4500000,4503000,0,1,8,2,1,3,2,1,,,,,1730,30.59420477,5,369056.57,5023658.49
15,6200000,6201000,1,0,7,2,1,4,1,2,,,,,630,20.55572602,1,373489,5042175
16,6200000,6201000,0,1,7,2,1,4,1,2,,,,,1600,20.55572602,5,373489,5042175
17,6200000,6202000,1,0,8,1,1,4,1,1,,,,,630,21.92031919,1,373489,5042175
18,6200000,6202000,0,0,8,1,1,4,1,1,,,,,700,21.92031919,2,373489,5042175
19,6200000,6202000,0,0,8,1,1,4,1,1,,,,,1530,21.92031919,5,373489,5042175
20,6200000,6202000,0,1,8,1,1,4,1,1,,,,,1600,21.92031919,5,373489,5042175
21,6200000,6203000,1,0,3,1,3,4,1,6,,,,,800,33.48157793,2,373489,5042175
22,6200000,6203000,0,1,3,1,3,4,1,6,,,,,1530,33.48157793,5,373489,5042175
23,8400000,8401000,1,0,4,2,3,4,2,3,,,,,730,20.59307223,2,375223.3,5034632.31
24,8400000,8401000,0,0,4,2,3,4,2,2,,,,,1530,20.59307223,5,375223.3,5034632.31
25,8400000,8401000,0,1,4,2,3,4,2,2,,,,,1900,20.59307223,6,375223.3,5034632.31
26,8400000,8402000,1,0,8,2,1,4,2,1,,,,,730,16.21322642,2,375223.3,5034632.31
27,8400000,8402000,0,0,8,2,1,4,2,1,,,,,1630,16.21322642,5,375223.3,5034632.31
28,8400000,8402000,0,1,8,2,1,4,2,1,,,,,1900,16.21322642,6,375223.3,5034632.31
29,8400000,8403000,1,0,3,2,3,4,2,6,,,,,700,20.59307223,2,375223.3,5034632.31
30,8400000,8403000,0,0,3,2,3,4,2,2,,,,,1600,20.59307223,5,375223.3,5034632.31
31,8400000,8403000,0,1,3,2,3,4,2,2,,,,,1900,20.59307223,6,375223.3,5034632.31
32,8400000,8404000,1,0,4,2,3,4,2,3,,,,,1530,20.59307223,5,375223.3,5034632.31
33,8400000,8404000,0,0,4,2,3,4,2,3,,,,,1700,20.59307223,5,375223.3,5034632.31
34,9000000,9001000,1,0,4,2,3,3,2,1,,,,,1430,32.70371101,4,363141.41,5023280.81
35,9000000,9001000,0,0,4,2,3,3,2,1,,,,,2100,32.70371101,6,363141.41,5023280.81
36,9000000,9001000,0,0,4,2,3,3,2,1,,,,,2120,32.70371101,6,363141.41,5023280.81
37,9000000,9001000,0,1,4,2,3,3,2,1,,,,,2500,32.70371101,7,363141.41,5023280.81
38,9000000,9002000,1,0,10,1,1,3,2,3,,,,,1330,20.51465292,4,363141.41,5023280.81
39,9000000,9002000,0,1,10,1,1,3,2,3,,,,,1600,20.51465292,5,363141.41,5023280.81
40,9000000,9002000,0,0,10,1,1,3,2,1,,,,,1900,20.51465292,6,363141.41,5023280.81
41,9000000,9002000,0,0,10,1,1,3,2,1,,,,,1915,20.51465292,6,363141.41,5023280.81
42,9000000,9002000,0,1,10,1,1,3,2,1,,,,,1930,20.51465292,6,363141.41,5023280.81
43,9700000,9701000,1,0,12,2,4,1,1,1,,,,,1100,23.27716039,3,371853.51,5027430.12
44,9700000,9701000,0,1,12,2,4,1,1,1,,,,,1600,23.27716039,5,371853.51,5027430.12
45,10800000,10801000,1,0,6,1,1,1,1,1,,,,,430,33.27966162,1,360022.48,5024805.41
46,10800000,10801000,0,0,6,1,1,1,1,1,,,,,1000,33.27966162,3,360022.48,5024805.41
47,10800000,10801000,0,1,6,1,1,1,1,1,,,,,1100,33.27966162,3,360022.48,5024805.41
48,13300000,13301000,1,0,6,2,3,4,1,1,,,,,730,26.49597293,2,365514.74,5026856.63
49,13300000,13301000,0,0,6,2,3,4,1,1,,,,,1330,26.49597293,4,365514.74,5026856.63
50,13300000,13301000,0,0,6,2,3,4,1,1,,,,,1400,26.49597293,4,365514.74,5026856.63
51,13300000,13301000,0,0,6,2,3,4,1,1,,,,,1430,26.49597293,4,365514.74,5026856.63
52,13300000,13301000,0,0,6,2,3,4,1,1,,,,,1445,26.49597293,4,365514.74,5026856.63
53,13300000,13301000,0,0,6,2,3,4,1,1,,,,,1520,26.49597293,4,365514.74,5026856.63
54,13300000,13301000,0,1,6,2,3,4,1,1,,,,,1545,26.49597293,5,365514.74,5026856.63
55,13300000,13302000,1,0,3,2,3,4,1,2,,,,,730,33.46260001,2,365514.74,5026856.63
56,13300000,13302000,0,1,3,2,3,4,1,2,,,,,1530,33.46260001,5,365514.74,5026856.63
57,15400000,15401000,1,0,11,2,4,2,1,1,,,,,1145,16.9140027,3,370104.43,5026924.42
